date,val_perMW_interval_exante,portfolio_pln_interval_exante_capped,val_perMW_interval_expost,portfolio_pln_interval_expost_capped,budget_pln_interval
2024-09-16,11161.831229275376,342575.07570248237,3510.535,175526.75,6224289.212
2024-09-17,10537.491006831919,351087.1081130881,3047.3374999999996,152366.875,6353499.81625
2024-09-18,6336.191407119254,288797.5044033347,2250.125,112506.25,5287389.10675
2024-09-19,4731.515768590434,232734.50067580177,1594.7425,79737.125,4464058.3125
2024-09-20,4284.316911833484,200988.44197568548,1507.3925,75369.625,3741644.6475
2024-09-21,9014.025521698519,347648.8229664727,2863.2775,143163.875,5835023.5835
2024-09-22,5396.7582777302805,230714.83030854753,1620.7849999999999,81039.25,4407502.60825
2024-09-23,30210.303950783175,451785.06682137697,4127.2075,206360.375,7637588.631
2024-09-24,4256.138172636791,209760.7998391465,994.345,49717.25,4015973.5535
2024-09-25,12276.370310052773,416415.56845068,3020.815,151040.75,6612906.08875
2024-09-26,7976.436377815185,397131.09437390836,2313.165,115658.25,6195918.69075
2024-09-27,2202.000579026423,109842.19526242642,612.6500000000001,30632.500000000004,2476521.25075
2024-09-28,10353.260297958788,431840.0883366721,2965.425,148271.25,6727194.587
2024-09-29,6136.26911732889,264148.3748480638,1660.4675000000002,83023.375,4468393.3005
2024-09-30,18899.168154614283,357872.51412332925,3814.15,190707.5,6063938.97725
2024-10-01,29033.93457214314,560363.4786477917,5447.96,272398.0,9129944.593
2024-10-02,40096.13786858084,803707.1320906053,8445.5775,422278.875,12815414.804
2024-10-03,34277.977162213654,810167.2561555397,8339.73,416986.5,12910162.96375
2024-10-04,9027.170916758634,376000.46597498585,2892.35,144617.5,6665551.33775
2024-10-05,2408.897613714326,120221.84491633278,209.565,10478.25,3041543.59775
2024-10-06,6437.066517835455,215724.33321131996,1904.1875,95209.375,3850772.34875
2024-10-07,19814.036848624022,324083.62249965424,3363.71,168185.5,5814117.75425
2024-10-08,5350.774980153529,237140.72316881575,1711.575,85578.75,4305919.55775
2024-10-09,8423.3220561908,388554.63794855395,2636.105,131805.25,6684758.576
2024-10-10,4180.835730967713,197488.7000115989,1187.5525,59377.625,3277532.39
2024-10-11,8152.810086344023,318867.8471946753,2329.88,116494.0,5485860.6985
2024-10-12,4584.275525998736,224747.04707499387,1203.955,60197.75,3918784.058
2024-10-13,2617.95251907702,122173.45386320018,303.21250000000015,15160.625000000007,2203486.008
2024-10-14,36653.39080139991,546838.3065143069,5522.6775,276133.875,8930065.632749999
2024-10-15,23336.534485469685,608285.8925626978,6016.1025,300805.125,10065696.433
2024-10-16,11870.837523388574,363794.85705098364,3272.7475,163637.375,5937174.6565
2024-10-17,6730.237828508482,269797.6401804375,2023.035,101151.75,4426359.83125
2024-10-18,8491.133952153185,390970.8383437865,2747.3425,137367.125,6569272.0235
2024-10-19,5113.842323663587,250628.41816053097,1305.955,65297.75,4366971.969
2024-10-20,2585.4231781537997,128236.53095928933,388.9525,19447.625,2066249.204
2024-10-21,20918.230153705957,565206.9697287203,5267.51,263375.5,8999117.4025
2024-10-22,6158.923683829688,222430.2317091385,1747.4425,87372.125,4268006.2235
2024-10-23,12682.813399546945,322571.28783990385,2961.805,148090.25,6118561.25275
2024-10-24,17726.48754872237,502190.59476136987,4826.9075,241345.375,8468611.141
2024-10-25,19322.2574227497,652235.8244626119,6051.175,302558.75,10332629.13075
2024-10-26,12356.353932075968,572203.7493734265,4875.3575,243767.875,9218918.151250001
2024-10-27,7861.459025059854,387864.30649156624,3039.815,151990.75,6453002.03925
2024-10-28,13655.048012599682,355626.93284919765,3229.5675,161478.375,6665592.327
2024-10-29,17578.466607182552,515498.937153508,4958.3425,247917.125,9158427.816
2024-10-30,14318.145435136868,604520.8881912021,5308.1725,265408.625,9851690.86275
2024-10-31,5318.136928697221,254130.8387731961,1665.1425000000002,83257.125,4773519.31625
2024-11-01,1735.8556300992573,86768.85425697282,377.44749999999993,18872.374999999996,1694534.93125
2024-11-02,3150.2218660122685,151863.26437417895,1009.155,50457.75,2870229.075
2024-11-03,2821.1712195061164,139799.37249300542,698.83,34941.5,2669183.3155
2024-11-04,21687.083834562847,455336.84952919616,4669.3325,233466.625,7998894.03625
2024-11-05,101567.07869919055,820745.9999324186,9108.0875,455404.375,13135651.10725
2024-11-06,76439.74343382637,840213.7808924657,10052.0475,502602.375,13938269.74425
2024-11-07,44696.11158839504,842813.5703417931,9380.95,469047.5,13740429.0875
2024-11-08,16783.853158013993,688444.894643823,5980.245,299012.25,10705267.27725
2024-11-09,18976.148076673475,816280.7464875227,7013.9625,350698.125,11908047.9005
2024-11-10,14799.351771128111,690178.8337940439,6146.1925,307309.625,10815329.12775
2024-11-11,12791.3069991582,592150.29470027,4959.595,247979.75,9434136.53775
2024-11-12,25898.838860865653,733399.1986525533,7903.195,395159.75,12331185.04825
2024-11-13,30753.085392408106,809675.6655656232,9074.92,453746.0,13402239.49775
2024-11-14,6353.8447699263015,313060.1766206465,2127.245,106362.25,5987854.2469999995
2024-11-15,7370.077737748892,336520.9943263249,2309.6949999999997,115484.75,6019202.33975
2024-11-16,4292.031858283077,214601.59291415385,1324.635,66231.75,3768433.483
2024-11-17,1952.9278810087915,96893.04757780075,203.30999999999995,10165.499999999996,2193583.419
2024-11-18,10335.120332457542,469570.3359438547,3732.4225,186621.125,7510709.103
2024-11-19,10127.219273605315,471859.69321630645,3792.6825,189634.125,8038441.84625
2024-11-20,7959.998725829584,382209.00174728775,2963.1925,148159.625,6616560.363
2024-11-21,20608.575032954795,583856.4232320285,5668.8975,283444.875,9907801.08425
2024-11-22,5377.313381928157,235361.3524439547,1657.015,82850.75,5246632.54125
2024-11-23,6818.115628187168,304434.9847699191,2103.105,105155.25,5382244.05725
2024-11-24,7585.315352826321,345219.4049843685,2280.9275000000002,114046.375,5427014.73475
2024-11-25,4699.047125976816,222509.17820176258,1254.325,62716.25,4179490.397
2024-11-26,30367.357815769352,678729.9928411342,6963.5875,348179.375,11276357.591
2024-11-27,11636.239460034321,396637.9953916043,3719.145,185957.25,7613860.145
2024-11-28,13803.361282129066,561742.7494027946,5003.115,250155.75,9063404.73175
2024-11-29,10098.386536430107,482143.5816605494,4187.045,209352.25,8646799.57625
2024-11-30,7949.208092554576,363605.4228786547,2838.4975,141924.875,6883730.12925
2024-12-01,4134.878487309873,197659.37530186702,1033.8875,51694.375,3841904.347
2024-12-02,13963.05085107666,579136.9963528961,4846.565,242328.25,9242454.32975
2024-12-03,30752.463032082334,820198.6763659177,8680.505,434025.25,13486665.4735
2024-12-04,41594.08487543289,813653.4630268224,9587.115,479355.75,13810832.92575
2024-12-05,13572.037080686589,475259.32769005117,5033.245,251662.25,8792160.2265
2024-12-06,5407.191263079496,263910.4086613423,1961.2125,98060.625,5057887.497
2024-12-07,8287.735369538834,394888.48495325417,3036.9425,151847.125,7124805.64425
2024-12-08,12148.511912375625,561861.5680133112,4251.8324999999995,212591.625,8683116.14725
2024-12-09,12422.283796546719,553845.0850696958,4514.855,225742.75,9138478.50125
2024-12-10,35016.00172370236,861533.5530794458,9211.6925,460584.625,13878746.217
2024-12-11,17587.677508191577,592823.2796997397,6496.39,324819.5,10450251.6765
2024-12-12,16037.414398232786,493421.1681328105,5147.5775,257378.875,9135387.5045
2024-12-13,7587.947033923555,350290.9191892668,3092.8224999999998,154641.125,7152611.68
2024-12-14,11067.836359535106,473143.89316743775,3588.765,179438.25,7615140.544749999
2024-12-15,2650.2465379685023,132107.0490294108,170.21250000000003,8510.625,2477159.6805
2024-12-16,3767.318059453489,183932.13659377818,634.9425,31747.125,3375897.97625
2024-12-17,4265.8774346539585,211010.2070094118,825.4075,41270.375,4215125.988
2024-12-18,10157.452140301564,293952.3866844608,2684.7,134235.0,5080110.09425
2024-12-19,1710.8709250949626,85472.60761671148,150.3225,7516.124999999999,1851086.0385
2024-12-20,2856.500762054584,142825.03810272922,450.40500000000003,22520.25,2885383.0752499998
2024-12-21,1676.4602567587683,83395.90469009978,147.5725,7378.624999999999,1608630.308
2024-12-22,6335.833708180315,308932.31782102823,1897.2875000000001,94864.375,5549721.8135
2024-12-23,6617.195613425699,319807.7164263167,2052.5225,102626.125,5811924.325
2024-12-24,5524.084535431238,276204.2267715619,1733.5475000000001,86677.375,4940660.61275
2024-12-25,3673.597805357171,172801.22616925152,696.2475000000001,34812.375,3254843.44775
2024-12-26,9371.48691921281,445949.7119503116,3267.6775000000002,163383.875,7419487.4350000005
2024-12-27,9254.079092363634,430292.44445624447,3377.06,168853.0,7138443.209
2024-12-28,9433.47265237241,452079.44597192574,3631.2425,181562.125,7985216.04775
2024-12-29,4011.8705649778594,200593.52824889298,947.5174999999999,47375.875,4039979.3815
2024-12-30,1342.7217210340596,66070.43621883978,113.75500000000001,5687.75,1288070.0832500001
2024-12-31,3187.9568644600995,159316.95766517235,576.4175,28820.874999999996,2825801.0715
2025-01-01,3049.845343940548,151780.07113455716,850.7475000000001,42537.375,3344166.1475
2025-01-02,5785.4260428234265,277969.6837631672,2522.8275000000003,126141.375,5918475.36925
2025-01-03,4627.21038767425,231360.51938371253,1109.6875,55484.375,4193672.006
2025-01-04,5382.6592747970135,266847.20695872285,1822.645,91132.25,5254546.55225
2025-01-05,10890.07360799822,523412.87594166584,3761.2075,188060.375,8058809.372
2025-01-06,1504.7759848286187,75238.79924143093,116.2575,5812.875,1450276.51725
2025-01-07,6027.81845110411,286633.2636795125,2083.5675,104178.375,4888897.65075
2025-01-08,9942.739306989617,452505.3302454277,3624.395,181219.75,7436234.758
2025-01-09,2543.973631988311,127198.35433995268,417.645,20882.25,3205458.5665
2025-01-10,5213.632137001541,255773.2344314007,1668.0075,83400.375,4904822.57875
2025-01-11,3019.305294037063,150965.26470185316,362.08500000000004,18104.25,3435654.90725
2025-01-12,2518.4453560900656,125922.2678045033,515.03,25751.499999999996,2944457.35825
2025-01-13,19520.68465327566,673878.6666532641,6110.6375,305531.875,10645518.32325
2025-01-14,16804.01830367193,590404.0715447149,5319.97,265998.5,9774396.482
2025-01-15,49778.194281081545,1038600.7286101948,12231.6525,611582.625,16500522.50875
2025-01-16,13290.796540481799,603454.1765251026,5396.8525,269842.625,10202884.87825
2025-01-17,17130.44832764232,659687.8177205713,6149.8825,307494.125,10861708.95325
2025-01-18,6887.545958294899,344377.29791474494,2676.5425,133827.125,6703089.469
2025-01-19,12666.4476420787,585091.8641610416,4996.6325,249831.625,9625472.839
2025-01-20,9974.639837227816,450487.127074131,3759.0099999999998,187950.5,8051585.73775
2025-01-21,21008.08285205516,677164.8750850741,6593.735,329686.75,11419812.168
2025-01-22,19482.16704185258,743758.492551409,6889.845,344492.25,11715007.30475
2025-01-23,8741.84420342532,411332.61215690087,3003.825,150191.25,6835537.0215
2025-01-24,2313.5751044729886,115678.75522364942,519.575,25978.75,2547075.856
2025-01-25,6993.403560650686,349670.1780325343,2464.81,123240.5,6227042.950999999
2025-01-26,3569.223809441704,178461.19047208517,1152.6225,57631.125,3461066.64925
2025-01-27,2920.831751948108,145759.18150384197,721.7075,36085.375,2809904.97525
2025-01-28,7576.868628677736,348344.23479760264,2820.6725,141033.625,5868679.7502500005
2025-01-29,10801.742520639644,495209.2287878148,3762.8,188140.0,7732447.80975
2025-01-30,8128.939253387304,374601.34506131103,2925.835,146291.75,7021519.70375
2025-01-31,9317.41853079702,439595.3921229176,3815.495,190774.75,7964932.64525
2025-02-01,12220.904443828947,570028.6306157176,4892.9725,244648.625,9617207.718
2025-02-02,8763.952455493545,412879.832449304,3473.33,173666.5,7338270.6925
2025-02-03,16202.760459602641,572524.7941663419,5437.055,271852.75,9752697.479
2025-02-04,11487.675019028444,507785.2077190294,4580.9875,229049.375,8984201.7105
2025-02-05,13563.75049685186,546596.6529934475,4975.6449999999995,248782.25,9373834.5615
2025-02-06,17006.26751084662,696370.2562852222,6556.240000000001,327812.0,11422985.59675
2025-02-07,4539.147119719571,226957.35598597853,1617.9325,80896.625,5064649.37475
2025-02-08,4218.484630859681,201264.23847127738,1583.935,79196.75,3687568.133
2025-02-09,17892.997886447338,699541.8875267413,6334.4375,316721.875,10973586.06425
2025-02-10,8426.579412630676,407128.70211547724,3150.69,157534.5,7078312.424
2025-02-11,19586.17478470595,709245.6219379442,6432.25,321612.5,11083755.08275
