dt,Hours_in_interval,price_pln_per_mw_h,mw_procured,budget_pln_interval,p_accept_exante,val_perMW_h_exante,val_perMW_interval_exante,portfolio_pln_interval_exante_capped,p_accept_expost,val_perMW_h_expost,val_perMW_interval_expost,portfolio_pln_interval_expost_capped,cap_share_pln
2024-07-01 08:15:00+00:00,0.25,623.47,676.7,105475.53725000001,0.6613768032089228,533.4604044086723,133.36510110216807,6668.255055108403,1.0,223.47000000000003,55.86750000000001,2793.3750000000005,7793.375000000001
2024-07-01 08:30:00+00:00,0.25,755.87,797.3,150663.78775,0.8015203424132626,927.894044543546,231.9735111358865,9448.374999999998,1.0,355.87,88.9675,4448.375,9448.374999999998
2024-07-01 08:45:00+00:00,0.25,751.76,778.1,146236.114,0.8139749431679173,980.6623990325643,245.16559975814107,9397.0,1.0,351.76,87.94,4397.0,9397.0
2024-07-01 09:00:00+00:00,0.25,740.24,673.1,124563.886,0.8089061104497446,958.6437743095433,239.66094357738584,9252.999999999998,1.0,340.24,85.06,4253.0,9252.999999999998
2024-07-01 09:15:00+00:00,0.25,665.87,659.4,109768.6695,0.7155643748035947,654.1969046218755,163.5492261554689,8177.461307773445,1.0,265.87,66.4675,3323.375,8323.375
2024-07-01 09:30:00+00:00,0.25,554.39,564.3,78210.56924999999,0.5471344450181013,350.2335175103354,87.55837937758385,4377.918968879192,1.0,154.39,38.5975,1929.8749999999998,6929.874999999999
2024-07-01 09:45:00+00:00,0.25,554.39,654.1,90656.62475,0.5487209141945896,352.30492402901257,88.07623100725314,4403.811550362657,1.0,154.39,38.5975,1929.8749999999998,6929.875
2024-07-01 10:00:00+00:00,0.25,554.39,611.9,84807.81025,0.5481538391316023,351.56326703803353,87.89081675950838,4394.540837975419,1.0,154.39,38.5975,1929.8749999999998,6929.875
2024-07-01 10:15:00+00:00,0.25,544.14,478.3,65065.5405,0.5434215812573228,345.42774849906107,86.35693712476527,4317.846856238263,1.0,144.14,36.035,1801.7499999999998,6801.75
2024-07-01 10:30:00+00:00,0.25,544.14,599.5,81552.9825,0.5412358603379623,342.6258456911329,85.65646142278322,4282.823071139162,1.0,144.14,36.035,1801.7499999999998,6801.749999999999
2024-07-01 10:45:00+00:00,0.25,544.14,558.3,75948.34049999999,0.5420930649109457,343.7223236435659,85.93058091089148,4296.529045544574,1.0,144.14,36.035,1801.7499999999998,6801.749999999999
2024-07-01 11:00:00+00:00,0.25,544.14,541.4,73649.349,0.5423175784384103,344.0100134747569,86.00250336868922,4300.125168434461,1.0,144.14,36.035,1801.7499999999998,6801.75
2024-07-01 11:15:00+00:00,0.25,503.59,570.3,71799.34425,0.4735940511232495,264.8419456832959,66.21048642082397,3310.5243210411986,1.0,103.58999999999997,25.897499999999994,1294.8749999999998,6294.875
2024-07-01 11:30:00+00:00,0.25,503.59,592.8,74632.03799999999,0.47261257702269643,263.8280525336738,65.95701313341846,3297.850656670923,1.0,103.58999999999997,25.897499999999994,1294.8749999999998,6294.874999999999
