dt,price_pln_per_mw_h,mw_procured,mw_available,cap_revenue_band_1,cap_revenue_band_2,cap_revenue_band_3,capacity_revenue_baseline,budget_envelope,capacity_revenue_capped,bound_flag,total_revenue
2024-07-04 02:15:00+00:00,144.4,400.0,100.0,677.2616694605512,858.5962308096642,595.9067519819597,2131.764652252175,3610.0,2131.764652252175,0,2131.764652252175
2024-07-04 02:30:00+00:00,144.4,400.0,100.0,677.2616694605512,858.5962308096642,595.9067519819597,2131.764652252175,3610.0,2131.764652252175,0,2131.764652252175
2024-07-04 02:45:00+00:00,133.76,400.0,100.0,677.2616694605512,858.5962308096642,595.9067519819597,2131.764652252175,3344.0,2131.764652252175,0,2131.764652252175
2024-07-04 03:00:00+00:00,152.36,400.0,100.0,677.2616694605512,858.5962308096642,595.9067519819597,2131.764652252175,3809.0000000000005,2131.764652252175,0,2131.764652252175
2024-07-04 03:15:00+00:00,173.33,400.0,100.0,677.2616694605512,858.5962308096642,595.9067519819597,2131.764652252175,4333.25,2131.764652252175,0,2131.764652252175
2024-07-04 03:30:00+00:00,173.33,400.0,100.0,677.2616694605512,858.5962308096642,595.9067519819597,2131.764652252175,4333.25,2131.764652252175,0,2131.764652252175
2024-07-04 03:45:00+00:00,173.33,400.0,100.0,677.2616694605512,858.5962308096642,595.9067519819597,2131.764652252175,4333.25,2131.764652252175,0,2131.764652252175
2024-07-04 04:00:00+00:00,173.33,400.0,100.0,677.2616694605512,858.5962308096642,595.9067519819597,2131.764652252175,4333.25,2131.764652252175,0,2131.764652252175
2024-07-04 04:15:00+00:00,107.07,400.0,100.0,677.2616694605512,858.5962308096642,595.9067519819597,2131.764652252175,2676.75,2131.764652252175,0,2131.764652252175
2024-07-04 04:30:00+00:00,107.07,400.0,100.0,677.2616694605512,858.5962308096642,595.9067519819597,2131.764652252175,2676.75,2131.764652252175,0,2131.764652252175
2024-07-04 04:45:00+00:00,70.89,400.0,100.0,677.2616694605512,858.5962308096642,595.9067519819597,2131.764652252175,1772.25,1772.25,1,1772.25
2024-07-04 05:00:00+00:00,107.07,400.0,100.0,677.2616694605512,858.5962308096642,595.9067519819597,2131.764652252175,2676.75,2131.764652252175,0,2131.764652252175
2024-07-04 05:15:00+00:00,103.36,400.0,100.0,677.2616694605512,858.5962308096642,595.9067519819597,2131.764652252175,2584.0,2131.764652252175,0,2131.764652252175
2024-07-04 05:30:00+00:00,120.94,400.0,100.0,677.2616694605512,858.5962308096642,595.9067519819597,2131.764652252175,3023.5,2131.764652252175,0,2131.764652252175
2024-07-04 05:45:00+00:00,120.94,400.0,100.0,677.2616694605512,858.5962308096642,595.9067519819597,2131.764652252175,3023.5,2131.764652252175,0,2131.764652252175
2024-07-04 06:00:00+00:00,120.94,400.0,100.0,677.2616694605512,858.5962308096642,595.9067519819597,2131.764652252175,3023.5,2131.764652252175,0,2131.764652252175
2024-07-04 06:15:00+00:00,34.8,400.0,100.0,677.2616694605512,858.5962308096642,595.9067519819597,2131.764652252175,869.9999999999999,869.9999999999999,1,869.9999999999999
2024-07-04 06:30:00+00:00,34.8,400.0,100.0,677.2616694605512,858.5962308096642,595.9067519819597,2131.764652252175,869.9999999999999,869.9999999999999,1,869.9999999999999
2024-07-04 06:45:00+00:00,34.8,400.0,100.0,677.2616694605512,858.5962308096642,595.9067519819597,2131.764652252175,869.9999999999999,869.9999999999999,1,869.9999999999999
2024-07-04 07:00:00+00:00,131.59,400.0,100.0,677.2616694605512,858.5962308096642,595.9067519819597,2131.764652252175,3289.75,2131.764652252175,0,2131.764652252175
2024-07-04 07:15:00+00:00,119.53,400.0,100.0,677.2616694605512,858.5962308096642,595.9067519819597,2131.764652252175,2988.25,2131.764652252175,0,2131.764652252175
2024-07-04 07:30:00+00:00,227.75,400.0,100.0,677.2616694605512,858.5962308096642,595.9067519819597,2131.764652252175,5693.75,2131.764652252175,0,2131.764652252175
2024-07-04 07:45:00+00:00,227.75,400.0,100.0,677.2616694605512,858.5962308096642,595.9067519819597,2131.764652252175,5693.75,2131.764652252175,0,2131.764652252175
2024-07-04 08:00:00+00:00,227.75,400.0,100.0,677.2616694605512,858.5962308096642,595.9067519819597,2131.764652252175,5693.75,2131.764652252175,0,2131.764652252175
2024-07-04 08:15:00+00:00,304.16,400.0,100.0,677.2616694605512,858.5962308096642,595.9067519819597,2131.764652252175,7604.000000000001,2131.764652252175,0,2131.764652252175
2024-07-04 08:30:00+00:00,304.16,400.0,100.0,677.2616694605512,858.5962308096642,595.9067519819597,2131.764652252175,7604.000000000001,2131.764652252175,0,2131.764652252175
2024-07-04 08:45:00+00:00,304.16,400.0,100.0,677.2616694605512,858.5962308096642,595.9067519819597,2131.764652252175,7604.000000000001,2131.764652252175,0,2131.764652252175
2024-07-04 09:00:00+00:00,304.16,400.0,100.0,677.2616694605512,858.5962308096642,595.9067519819597,2131.764652252175,7604.000000000001,2131.764652252175,0,2131.764652252175
2024-07-04 09:15:00+00:00,260.16,400.0,100.0,677.2616694605512,858.5962308096642,595.9067519819597,2131.764652252175,6504.000000000001,2131.764652252175,0,2131.764652252175
2024-07-04 09:30:00+00:00,260.16,400.0,100.0,677.2616694605512,858.5962308096642,595.9067519819597,2131.764652252175,6504.000000000001,2131.764652252175,0,2131.764652252175
2024-07-04 09:45:00+00:00,260.16,400.0,100.0,677.2616694605512,858.5962308096642,595.9067519819597,2131.764652252175,6504.000000000001,2131.764652252175,0,2131.764652252175
2024-07-04 10:00:00+00:00,260.16,400.0,100.0,677.2616694605512,858.5962308096642,595.9067519819597,2131.764652252175,6504.000000000001,2131.764652252175,0,2131.764652252175
2024-07-04 10:15:00+00:00,275.15,400.0,100.0,677.2616694605512,858.5962308096642,595.9067519819597,2131.764652252175,6878.749999999999,2131.764652252175,0,2131.764652252175
2024-07-04 10:30:00+00:00,275.15,400.0,100.0,677.2616694605512,858.5962308096642,595.9067519819597,2131.764652252175,6878.749999999999,2131.764652252175,0,2131.764652252175
2024-07-04 10:45:00+00:00,275.15,400.0,100.0,677.2616694605512,858.5962308096642,595.9067519819597,2131.764652252175,6878.749999999999,2131.764652252175,0,2131.764652252175
2024-07-04 11:00:00+00:00,275.15,400.0,100.0,677.2616694605512,858.5962308096642,595.9067519819597,2131.764652252175,6878.749999999999,2131.764652252175,0,2131.764652252175
2024-07-04 11:15:00+00:00,273.39,400.0,100.0,677.2616694605512,858.5962308096642,595.9067519819597,2131.764652252175,6834.75,2131.764652252175,0,2131.764652252175
2024-07-04 11:30:00+00:00,273.4,400.0,100.0,677.2616694605512,858.5962308096642,595.9067519819597,2131.764652252175,6834.999999999999,2131.764652252175,0,2131.764652252175
2024-07-04 11:45:00+00:00,273.4,400.0,100.0,677.2616694605512,858.5962308096642,595.9067519819597,2131.764652252175,6834.999999999999,2131.764652252175,0,2131.764652252175
2024-07-04 12:00:00+00:00,273.4,400.0,100.0,677.2616694605512,858.5962308096642,595.9067519819597,2131.764652252175,6834.999999999999,2131.764652252175,0,2131.764652252175
2024-07-04 12:15:00+00:00,278.17,400.0,100.0,677.2616694605512,858.5962308096642,595.9067519819597,2131.764652252175,6954.25,2131.764652252175,0,2131.764652252175
2024-07-04 12:30:00+00:00,278.17,400.0,100.0,677.2616694605512,858.5962308096642,595.9067519819597,2131.764652252175,6954.25,2131.764652252175,0,2131.764652252175
2024-07-04 12:45:00+00:00,278.17,400.0,100.0,677.2616694605512,858.5962308096642,595.9067519819597,2131.764652252175,6954.25,2131.764652252175,0,2131.764652252175
2024-07-04 13:00:00+00:00,278.17,400.0,100.0,677.2616694605512,858.5962308096642,595.9067519819597,2131.764652252175,6954.25,2131.764652252175,0,2131.764652252175
2024-07-04 13:15:00+00:00,312.17,400.0,100.0,677.2616694605512,858.5962308096642,595.9067519819597,2131.764652252175,7804.25,2131.764652252175,0,2131.764652252175
2024-07-04 13:30:00+00:00,312.17,400.0,100.0,677.2616694605512,858.5962308096642,595.9067519819597,2131.764652252175,7804.25,2131.764652252175,0,2131.764652252175
