dt,price_pln_per_mw_h,mw_procured,mw_available,cap_revenue_band_1,cap_revenue_band_2,p_cap_weighted,capacity_revenue_baseline,budget_envelope,capacity_revenue_capped,bound_flag,energy_revenue,p_energy,payoff_per_MWh,total_revenue
2024-07-09 07:00:00+00:00,37.34,400.0,50.0,553.0811949578962,517.3106862777599,0.21838490307467645,1070.391881235656,466.75000000000006,466.75000000000006,1,-2.007542897379158,0.9805527123848515,-50.0,464.7424571026209
2024-07-09 07:15:00+00:00,223.39,400.0,50.0,553.0811949578962,517.3106862777599,0.21838490307467645,1070.391881235656,2792.375,1070.391881235656,0,-2.007542897379158,0.9805527123848515,-50.0,1068.3843383382768
2024-07-09 07:30:00+00:00,223.39,400.0,50.0,553.0811949578962,517.3106862777599,0.21838490307467645,1070.391881235656,2792.375,1070.391881235656,0,-2.007542897379158,0.9805527123848515,-50.0,1068.3843383382768
2024-07-09 07:45:00+00:00,223.39,400.0,50.0,553.0811949578962,517.3106862777599,0.21838490307467645,1070.391881235656,2792.375,1070.391881235656,0,-2.007542897379158,0.9805527123848515,-50.0,1068.3843383382768
2024-07-09 08:00:00+00:00,223.39,400.0,50.0,553.0811949578962,517.3106862777599,0.21838490307467645,1070.391881235656,2792.375,1070.391881235656,0,-2.007542897379158,0.9805527123848515,-50.0,1068.3843383382768
2024-07-09 08:15:00+00:00,302.35,400.0,50.0,553.0811949578962,517.3106862777599,0.21838490307467645,1070.391881235656,3779.3750000000005,1070.391881235656,0,-2.007542897379158,0.9805527123848515,-50.0,1068.3843383382768
2024-07-09 08:30:00+00:00,302.35,400.0,50.0,553.0811949578962,517.3106862777599,0.21838490307467645,1070.391881235656,3779.3750000000005,1070.391881235656,0,-2.007542897379158,0.9805527123848515,-50.0,1068.3843383382768
2024-07-09 08:45:00+00:00,302.35,400.0,50.0,553.0811949578962,517.3106862777599,0.21838490307467645,1070.391881235656,3779.3750000000005,1070.391881235656,0,-2.007542897379158,0.9805527123848515,-50.0,1068.3843383382768
2024-07-09 09:00:00+00:00,302.35,400.0,50.0,553.0811949578962,517.3106862777599,0.21838490307467645,1070.391881235656,3779.3750000000005,1070.391881235656,0,-2.007542897379158,0.9805527123848515,-50.0,1068.3843383382768
2024-07-09 09:15:00+00:00,302.35,400.0,50.0,553.0811949578962,517.3106862777599,0.21838490307467645,1070.391881235656,3779.3750000000005,1070.391881235656,0,-2.007542897379158,0.9805527123848515,-50.0,1068.3843383382768
2024-07-09 09:30:00+00:00,302.35,400.0,50.0,553.0811949578962,517.3106862777599,0.21838490307467645,1070.391881235656,3779.3750000000005,1070.391881235656,0,-2.007542897379158,0.9805527123848515,-50.0,1068.3843383382768
2024-07-09 09:45:00+00:00,302.35,400.0,50.0,553.0811949578962,517.3106862777599,0.21838490307467645,1070.391881235656,3779.3750000000005,1070.391881235656,0,-2.007542897379158,0.9805527123848515,-50.0,1068.3843383382768
2024-07-09 10:00:00+00:00,302.35,400.0,50.0,553.0811949578962,517.3106862777599,0.21838490307467645,1070.391881235656,3779.3750000000005,1070.391881235656,0,-2.007542897379158,0.9805527123848515,-50.0,1068.3843383382768
2024-07-09 10:15:00+00:00,302.35,400.0,50.0,553.0811949578962,517.3106862777599,0.21838490307467645,1070.391881235656,3779.3750000000005,1070.391881235656,0,-2.007542897379158,0.9805527123848515,-50.0,1068.3843383382768
2024-07-09 10:30:00+00:00,302.35,400.0,50.0,553.0811949578962,517.3106862777599,0.21838490307467645,1070.391881235656,3779.3750000000005,1070.391881235656,0,-2.007542897379158,0.9805527123848515,-50.0,1068.3843383382768
2024-07-09 10:45:00+00:00,302.35,400.0,50.0,553.0811949578962,517.3106862777599,0.21838490307467645,1070.391881235656,3779.3750000000005,1070.391881235656,0,-2.007542897379158,0.9805527123848515,-50.0,1068.3843383382768
