dt,price_pln_per_mw_h,mw_procured,mw_available,cap_revenue_band_1,p_cap_weighted,capacity_revenue_baseline,budget_envelope,capacity_revenue_capped,bound_flag,energy_revenue,p_energy,payoff_per_MWh,total_revenue
2024-07-09 18:15:00+00:00,37.34,400.0,75.0,1635.9816490605708,0.23267294564417007,1635.9816490605708,700.1250000000001,700.1250000000001,1,7.31953930043027,0.9672466734902764,86.72999999999999,707.4445393004304
2024-07-09 18:30:00+00:00,37.34,400.0,75.0,1635.9816490605708,0.23267294564417007,1635.9816490605708,700.1250000000001,700.1250000000001,1,7.12458789049145,0.9672466734902764,84.42,707.2495878904915
2024-07-09 18:45:00+00:00,37.34,400.0,75.0,1635.9816490605708,0.23267294564417007,1635.9816490605708,700.1250000000001,700.1250000000001,1,7.26721467958089,0.9672466734902764,86.11,707.392214679581
2024-07-09 19:00:00+00:00,37.34,400.0,75.0,1635.9816490605708,0.23267294564417007,1635.9816490605708,700.1250000000001,700.1250000000001,1,6.730465343125956,0.9672466734902764,79.75,706.8554653431261
2024-07-09 19:15:00+00:00,10.0,400.0,75.0,1635.9816490605708,0.23267294564417007,1635.9816490605708,187.5,187.5,1,10.583920485033556,0.9672466734902764,125.41,198.08392048503356
2024-07-09 19:30:00+00:00,10.0,400.0,75.0,1635.9816490605708,0.23267294564417007,1635.9816490605708,187.5,187.5,1,2.632266006922866,0.9672466734902764,31.19,190.13226600692286
2024-07-09 19:45:00+00:00,37.34,400.0,75.0,1635.9816490605708,0.23267294564417007,1635.9816490605708,700.1250000000001,700.1250000000001,1,6.870560295722683,0.9672466734902764,81.41,706.9955602957228
2024-07-09 20:00:00+00:00,37.34,400.0,75.0,1635.9816490605708,0.23267294564417007,1635.9816490605708,700.1250000000001,700.1250000000001,1,-6.480657475845042,0.9672466734902764,-76.79,693.644342524155
2024-07-09 20:15:00+00:00,89.04,400.0,75.0,1635.9816490605708,0.23267294564417007,1635.9816490605708,1669.5000000000002,1635.9816490605708,0,8.928943364297506,0.9672466734902764,105.8,1644.9105924248684
2024-07-09 20:30:00+00:00,69.04,400.0,75.0,1635.9816490605708,0.23267294564417007,1635.9816490605708,1294.5000000000002,1294.5000000000002,1,6.769286836014206,0.9672466734902764,80.21000000000001,1301.2692868360145
2024-07-09 20:45:00+00:00,69.04,400.0,75.0,1635.9816490605708,0.23267294564417007,1635.9816490605708,1294.5000000000002,1294.5000000000002,1,9.26989734531605,0.9672466734902764,109.84,1303.7698973453162
2024-07-09 21:00:00+00:00,69.04,400.0,75.0,1635.9816490605708,0.23267294564417007,1635.9816490605708,1294.5000000000002,1294.5000000000002,1,8.517941906980598,0.9672466734902764,100.93,1303.017941906981
2024-07-09 21:15:00+00:00,78.17,400.0,75.0,1635.9816490605708,0.23267294564417007,1635.9816490605708,1465.6875,1465.6875,1,4.891508103919503,0.9672466734902764,57.96,1470.5790081039195
2024-07-09 21:30:00+00:00,77.64,400.0,75.0,1635.9816490605708,0.23267294564417007,1635.9816490605708,1455.75,1455.75,1,11.355286669813133,0.9672466734902764,134.55,1467.105286669813
2024-07-09 21:45:00+00:00,77.64,400.0,75.0,1635.9816490605708,0.23267294564417007,1635.9816490605708,1455.75,1455.75,1,11.878532878306936,0.9672466734902764,140.75,1467.628532878307
2024-07-09 22:00:00+00:00,78.17,400.0,75.0,1635.9816490605708,0.23267294564417007,1635.9816490605708,1465.6875,1465.6875,1,7.259619170102756,0.9672466734902764,86.02000000000001,1472.9471191701027
2024-07-09 22:15:00+00:00,1000.0,400.0,75.0,1635.9816490605708,0.23267294564417007,1635.9816490605708,18750.0,1635.9816490605708,0,7.734760485235032,0.9672466734902764,91.65,1643.7164095458058
2024-07-09 22:30:00+00:00,1000.0,400.0,75.0,1635.9816490605708,0.23267294564417007,1635.9816490605708,18750.0,1635.9816490605708,0,9.155964703144011,0.9672466734902764,108.49,1645.1376137637149
2024-07-09 22:45:00+00:00,134.83,400.0,75.0,1635.9816490605708,0.23267294564417007,1635.9816490605708,2528.0625000000005,1635.9816490605708,0,9.258082108350061,0.9672466734902764,109.7,1645.2397311689208
2024-07-09 23:00:00+00:00,143.87,400.0,75.0,1635.9816490605708,0.23267294564417007,1635.9816490605708,2697.5625,1635.9816490605708,0,10.658187688819774,0.9672466734902764,126.29,1646.6398367493905
2024-07-09 23:15:00+00:00,195.29,400.0,75.0,1635.9816490605708,0.23267294564417007,1635.9816490605708,3661.6875,1635.9816490605708,0,13.50987952511101,0.9672466734902764,160.08,1649.4915285856819
2024-07-09 23:30:00+00:00,195.29,400.0,75.0,1635.9816490605708,0.23267294564417007,1635.9816490605708,3661.6875,1635.9816490605708,0,8.89518554439468,0.9672466734902764,105.4,1644.8768346049656
2024-07-09 23:45:00+00:00,195.29,400.0,75.0,1635.9816490605708,0.23267294564417007,1635.9816490605708,3661.6875,1635.9816490605708,0,7.584538186667456,0.9672466734902764,89.87,1643.5661872472383
2024-07-10 00:00:00+00:00,195.29,400.0,75.0,1635.9816490605708,0.23267294564417007,1635.9816490605708,3661.6875,1635.9816490605708,0,7.217421895224223,0.9672466734902764,85.52000000000001,1643.1990709557952
2024-07-10 00:15:00+00:00,211.34,400.0,75.0,1635.9816490605708,0.23267294564417007,1635.9816490605708,3962.625,1635.9816490605708,0,8.58545754678625,0.9672466734902764,101.73,1644.5671066073571
2024-07-10 00:30:00+00:00,201.8,400.0,75.0,1635.9816490605708,0.23267294564417007,1635.9816490605708,3783.75,1635.9816490605708,0,10.05729849454947,0.9672466734902764,119.17,1646.0389475551203
