dt,price_pln_per_mw_h,mw_procured,mw_available,cap_revenue_band_1,capacity_revenue_baseline,budget_envelope,capacity_revenue_capped,bound_flag,total_revenue
2024-07-07 21:30:00+00:00,53.11,400.0,50.0,1106.1623899157923,1106.1623899157923,663.875,663.875,1,663.875
2024-07-07 21:45:00+00:00,53.11,400.0,50.0,1106.1623899157923,1106.1623899157923,663.875,663.875,1,663.875
2024-07-07 22:00:00+00:00,53.11,400.0,50.0,1106.1623899157923,1106.1623899157923,663.875,663.875,1,663.875
2024-07-07 22:15:00+00:00,103.07,400.0,50.0,1106.1623899157923,1106.1623899157923,1288.375,1106.1623899157923,0,1106.1623899157923
2024-07-07 22:30:00+00:00,103.07,400.0,50.0,1106.1623899157923,1106.1623899157923,1288.375,1106.1623899157923,0,1106.1623899157923
2024-07-07 22:45:00+00:00,103.07,400.0,50.0,1106.1623899157923,1106.1623899157923,1288.375,1106.1623899157923,0,1106.1623899157923
2024-07-07 23:00:00+00:00,103.07,400.0,50.0,1106.1623899157923,1106.1623899157923,1288.375,1106.1623899157923,0,1106.1623899157923
2024-07-07 23:15:00+00:00,113.07,400.0,50.0,1106.1623899157923,1106.1623899157923,1413.375,1106.1623899157923,0,1106.1623899157923
2024-07-07 23:30:00+00:00,113.07,400.0,50.0,1106.1623899157923,1106.1623899157923,1413.375,1106.1623899157923,0,1106.1623899157923
2024-07-07 23:45:00+00:00,88.91,400.0,50.0,1106.1623899157923,1106.1623899157923,1111.375,1106.1623899157923,0,1106.1623899157923
2024-07-08 00:00:00+00:00,113.07,400.0,50.0,1106.1623899157923,1106.1623899157923,1413.375,1106.1623899157923,0,1106.1623899157923
2024-07-08 00:15:00+00:00,1000.0,400.0,50.0,1106.1623899157923,1106.1623899157923,12500.0,1106.1623899157923,0,1106.1623899157923
2024-07-08 00:30:00+00:00,1000.0,400.0,50.0,1106.1623899157923,1106.1623899157923,12500.0,1106.1623899157923,0,1106.1623899157923
2024-07-08 00:45:00+00:00,1000.0,400.0,50.0,1106.1623899157923,1106.1623899157923,12500.0,1106.1623899157923,0,1106.1623899157923
2024-07-08 01:00:00+00:00,1000.0,400.0,50.0,1106.1623899157923,1106.1623899157923,12500.0,1106.1623899157923,0,1106.1623899157923
2024-07-08 01:15:00+00:00,61.8,400.0,50.0,1106.1623899157923,1106.1623899157923,772.5,772.5,1,772.5
2024-07-08 01:30:00+00:00,61.8,400.0,50.0,1106.1623899157923,1106.1623899157923,772.5,772.5,1,772.5
2024-07-08 01:45:00+00:00,61.8,400.0,50.0,1106.1623899157923,1106.1623899157923,772.5,772.5,1,772.5
2024-07-08 02:00:00+00:00,61.8,400.0,50.0,1106.1623899157923,1106.1623899157923,772.5,772.5,1,772.5
2024-07-08 02:15:00+00:00,66.36,400.0,50.0,1106.1623899157923,1106.1623899157923,829.5,829.5,1,829.5
2024-07-08 02:30:00+00:00,66.36,400.0,50.0,1106.1623899157923,1106.1623899157923,829.5,829.5,1,829.5
2024-07-08 02:45:00+00:00,66.36,400.0,50.0,1106.1623899157923,1106.1623899157923,829.5,829.5,1,829.5
2024-07-08 03:00:00+00:00,66.36,400.0,50.0,1106.1623899157923,1106.1623899157923,829.5,829.5,1,829.5
2024-07-08 03:15:00+00:00,43.27,400.0,50.0,1106.1623899157923,1106.1623899157923,540.875,540.875,1,540.875
2024-07-08 03:30:00+00:00,30.72,400.0,50.0,1106.1623899157923,1106.1623899157923,384.0,384.0,1,384.0
2024-07-08 03:45:00+00:00,30.72,400.0,50.0,1106.1623899157923,1106.1623899157923,384.0,384.0,1,384.0
2024-07-08 04:00:00+00:00,43.27,400.0,50.0,1106.1623899157923,1106.1623899157923,540.875,540.875,1,540.875
2024-07-08 04:15:00+00:00,1000.0,400.0,50.0,1106.1623899157923,1106.1623899157923,12500.0,1106.1623899157923,0,1106.1623899157923
2024-07-08 04:30:00+00:00,60.91,400.0,50.0,1106.1623899157923,1106.1623899157923,761.375,761.375,1,761.375
2024-07-08 04:45:00+00:00,60.91,400.0,50.0,1106.1623899157923,1106.1623899157923,761.375,761.375,1,761.375
2024-07-08 05:00:00+00:00,1000.0,400.0,50.0,1106.1623899157923,1106.1623899157923,12500.0,1106.1623899157923,0,1106.1623899157923
2024-07-08 05:15:00+00:00,1000.0,400.0,50.0,1106.1623899157923,1106.1623899157923,12500.0,1106.1623899157923,0,1106.1623899157923
2024-07-08 05:30:00+00:00,60.91,400.0,50.0,1106.1623899157923,1106.1623899157923,761.375,761.375,1,761.375
2024-07-08 05:45:00+00:00,60.91,400.0,50.0,1106.1623899157923,1106.1623899157923,761.375,761.375,1,761.375
2024-07-08 06:00:00+00:00,60.91,400.0,50.0,1106.1623899157923,1106.1623899157923,761.375,761.375,1,761.375
2024-07-08 06:15:00+00:00,49.54,400.0,50.0,1106.1623899157923,1106.1623899157923,619.25,619.25,1,619.25
2024-07-08 06:30:00+00:00,49.54,400.0,50.0,1106.1623899157923,1106.1623899157923,619.25,619.25,1,619.25
2024-07-08 06:45:00+00:00,49.54,400.0,50.0,1106.1623899157923,1106.1623899157923,619.25,619.25,1,619.25
2024-07-08 07:00:00+00:00,1000.0,400.0,50.0,1106.1623899157923,1106.1623899157923,12500.0,1106.1623899157923,0,1106.1623899157923
2024-07-08 07:15:00+00:00,92.0,400.0,50.0,1106.1623899157923,1106.1623899157923,1150.0,1106.1623899157923,0,1106.1623899157923
2024-07-08 07:30:00+00:00,92.0,400.0,50.0,1106.1623899157923,1106.1623899157923,1150.0,1106.1623899157923,0,1106.1623899157923
2024-07-08 07:45:00+00:00,92.0,400.0,50.0,1106.1623899157923,1106.1623899157923,1150.0,1106.1623899157923,0,1106.1623899157923
2024-07-08 08:00:00+00:00,92.0,400.0,50.0,1106.1623899157923,1106.1623899157923,1150.0,1106.1623899157923,0,1106.1623899157923
2024-07-08 08:15:00+00:00,170.17,400.0,50.0,1106.1623899157923,1106.1623899157923,2127.125,1106.1623899157923,0,1106.1623899157923
2024-07-08 08:30:00+00:00,170.17,400.0,50.0,1106.1623899157923,1106.1623899157923,2127.125,1106.1623899157923,0,1106.1623899157923
2024-07-08 08:45:00+00:00,170.17,400.0,50.0,1106.1623899157923,1106.1623899157923,2127.125,1106.1623899157923,0,1106.1623899157923
2024-07-08 09:00:00+00:00,170.17,400.0,50.0,1106.1623899157923,1106.1623899157923,2127.125,1106.1623899157923,0,1106.1623899157923
2024-07-08 09:15:00+00:00,184.96,400.0,50.0,1106.1623899157923,1106.1623899157923,2312.0,1106.1623899157923,0,1106.1623899157923
2024-07-08 09:30:00+00:00,184.96,400.0,50.0,1106.1623899157923,1106.1623899157923,2312.0,1106.1623899157923,0,1106.1623899157923
2024-07-08 09:45:00+00:00,184.96,400.0,50.0,1106.1623899157923,1106.1623899157923,2312.0,1106.1623899157923,0,1106.1623899157923
2024-07-08 10:00:00+00:00,184.96,400.0,50.0,1106.1623899157923,1106.1623899157923,2312.0,1106.1623899157923,0,1106.1623899157923
2024-07-08 10:15:00+00:00,184.5,400.0,50.0,1106.1623899157923,1106.1623899157923,2306.25,1106.1623899157923,0,1106.1623899157923
2024-07-08 10:30:00+00:00,184.5,400.0,50.0,1106.1623899157923,1106.1623899157923,2306.25,1106.1623899157923,0,1106.1623899157923
2024-07-08 10:45:00+00:00,184.5,400.0,50.0,1106.1623899157923,1106.1623899157923,2306.25,1106.1623899157923,0,1106.1623899157923
2024-07-08 11:00:00+00:00,184.5,400.0,50.0,1106.1623899157923,1106.1623899157923,2306.25,1106.1623899157923,0,1106.1623899157923
2024-07-08 11:15:00+00:00,163.02,400.0,50.0,1106.1623899157923,1106.1623899157923,2037.7500000000002,1106.1623899157923,0,1106.1623899157923
2024-07-08 11:30:00+00:00,163.02,400.0,50.0,1106.1623899157923,1106.1623899157923,2037.7500000000002,1106.1623899157923,0,1106.1623899157923
2024-07-08 11:45:00+00:00,163.02,400.0,50.0,1106.1623899157923,1106.1623899157923,2037.7500000000002,1106.1623899157923,0,1106.1623899157923
2024-07-08 12:00:00+00:00,163.02,400.0,50.0,1106.1623899157923,1106.1623899157923,2037.7500000000002,1106.1623899157923,0,1106.1623899157923
2024-07-08 12:15:00+00:00,109.22,400.0,50.0,1106.1623899157923,1106.1623899157923,1365.25,1106.1623899157923,0,1106.1623899157923
2024-07-08 12:30:00+00:00,109.22,400.0,50.0,1106.1623899157923,1106.1623899157923,1365.25,1106.1623899157923,0,1106.1623899157923
2024-07-08 12:45:00+00:00,109.22,400.0,50.0,1106.1623899157923,1106.1623899157923,1365.25,1106.1623899157923,0,1106.1623899157923
2024-07-08 13:00:00+00:00,109.22,400.0,50.0,1106.1623899157923,1106.1623899157923,1365.25,1106.1623899157923,0,1106.1623899157923
2024-07-08 13:15:00+00:00,55.02,400.0,50.0,1106.1623899157923,1106.1623899157923,687.75,687.75,1,687.75
2024-07-08 13:30:00+00:00,55.02,400.0,50.0,1106.1623899157923,1106.1623899157923,687.75,687.75,1,687.75
2024-07-08 13:45:00+00:00,90.62,400.0,50.0,1106.1623899157923,1106.1623899157923,1132.75,1106.1623899157923,0,1106.1623899157923
2024-07-08 14:00:00+00:00,90.62,400.0,50.0,1106.1623899157923,1106.1623899157923,1132.75,1106.1623899157923,0,1106.1623899157923
2024-07-08 14:15:00+00:00,63.27,400.0,50.0,1106.1623899157923,1106.1623899157923,790.875,790.875,1,790.875
2024-07-08 14:30:00+00:00,63.27,400.0,50.0,1106.1623899157923,1106.1623899157923,790.875,790.875,1,790.875
2024-07-08 14:45:00+00:00,43.27,400.0,50.0,1106.1623899157923,1106.1623899157923,540.875,540.875,1,540.875
2024-07-08 15:00:00+00:00,43.27,400.0,50.0,1106.1623899157923,1106.1623899157923,540.875,540.875,1,540.875
2024-07-08 15:15:00+00:00,74.98,400.0,50.0,1106.1623899157923,1106.1623899157923,937.25,937.25,1,937.25
2024-07-08 15:30:00+00:00,74.98,400.0,50.0,1106.1623899157923,1106.1623899157923,937.25,937.25,1,937.25
2024-07-08 15:45:00+00:00,74.98,400.0,50.0,1106.1623899157923,1106.1623899157923,937.25,937.25,1,937.25
2024-07-08 16:00:00+00:00,74.98,400.0,50.0,1106.1623899157923,1106.1623899157923,937.25,937.25,1,937.25
2024-07-08 16:15:00+00:00,43.27,400.0,50.0,1106.1623899157923,1106.1623899157923,540.875,540.875,1,540.875
2024-07-08 16:30:00+00:00,43.27,400.0,50.0,1106.1623899157923,1106.1623899157923,540.875,540.875,1,540.875
2024-07-08 16:45:00+00:00,43.27,400.0,50.0,1106.1623899157923,1106.1623899157923,540.875,540.875,1,540.875
2024-07-08 17:00:00+00:00,43.27,400.0,50.0,1106.1623899157923,1106.1623899157923,540.875,540.875,1,540.875
2024-07-08 17:15:00+00:00,103.69,400.0,50.0,1106.1623899157923,1106.1623899157923,1296.125,1106.1623899157923,0,1106.1623899157923
2024-07-08 17:30:00+00:00,11.77,400.0,50.0,1106.1623899157923,1106.1623899157923,147.125,147.125,1,147.125
2024-07-08 17:45:00+00:00,71.89,400.0,50.0,1106.1623899157923,1106.1623899157923,898.625,898.625,1,898.625
2024-07-08 18:00:00+00:00,103.69,400.0,50.0,1106.1623899157923,1106.1623899157923,1296.125,1106.1623899157923,0,1106.1623899157923
2024-07-08 18:15:00+00:00,191.84,400.0,50.0,1106.1623899157923,1106.1623899157923,2398.0,1106.1623899157923,0,1106.1623899157923
2024-07-08 18:30:00+00:00,191.84,400.0,50.0,1106.1623899157923,1106.1623899157923,2398.0,1106.1623899157923,0,1106.1623899157923
2024-07-08 18:45:00+00:00,191.84,400.0,50.0,1106.1623899157923,1106.1623899157923,2398.0,1106.1623899157923,0,1106.1623899157923
2024-07-08 19:00:00+00:00,37.49,400.0,50.0,1106.1623899157923,1106.1623899157923,468.625,468.625,1,468.625
2024-07-08 19:15:00+00:00,60.09,400.0,50.0,1106.1623899157923,1106.1623899157923,751.125,751.125,1,751.125
2024-07-08 19:30:00+00:00,37.49,400.0,50.0,1106.1623899157923,1106.1623899157923,468.625,468.625,1,468.625
2024-07-08 19:45:00+00:00,60.09,400.0,50.0,1106.1623899157923,1106.1623899157923,751.125,751.125,1,751.125
2024-07-08 20:00:00+00:00,80.09,400.0,50.0,1106.1623899157923,1106.1623899157923,1001.125,1001.125,1,1001.125
2024-07-08 20:15:00+00:00,108.7,400.0,50.0,1106.1623899157923,1106.1623899157923,1358.75,1106.1623899157923,0,1106.1623899157923
2024-07-08 20:30:00+00:00,88.7,400.0,50.0,1106.1623899157923,1106.1623899157923,1108.75,1106.1623899157923,0,1106.1623899157923
2024-07-08 20:45:00+00:00,88.7,400.0,50.0,1106.1623899157923,1106.1623899157923,1108.75,1106.1623899157923,0,1106.1623899157923
2024-07-08 21:00:00+00:00,88.7,400.0,50.0,1106.1623899157923,1106.1623899157923,1108.75,1106.1623899157923,0,1106.1623899157923
