dt,mw_procured,Hours_in_interval,mw_available,revenue_band_1,capacity_revenue_baseline,price_pln_per_mw_h,budget_envelope,capacity_revenue_capped,bound_flag,p_acc_K1
2024-07-03 04:15:00+00:00,400.0,0.25,50.0,991.2688644384629,991.2688644384629,118.93,1486.625,991.2688644384629,0,0.2643383638502568
2024-07-03 04:30:00+00:00,400.0,0.25,50.0,988.6671907926047,988.6671907926047,98.93,1236.625,988.6671907926047,0,0.2636445842113613
2024-07-03 04:45:00+00:00,400.0,0.25,50.0,987.0778960385536,987.0778960385536,98.93,1236.625,987.0778960385536,0,0.2632207722769476
2024-07-03 05:00:00+00:00,400.0,0.25,50.0,987.1167100615459,987.1167100615459,1000.0,12500.0,987.1167100615459,0,0.2632311226830789
2024-07-03 05:15:00+00:00,400.0,0.25,50.0,865.1460623263561,865.1460623263561,125.62,1570.25,865.1460623263561,0,0.2307056166203616
2024-07-03 05:30:00+00:00,400.0,0.25,50.0,864.3945004292457,864.3945004292457,85.3,1066.25,864.3945004292457,0,0.2305052001144655
2024-07-03 05:45:00+00:00,400.0,0.25,50.0,865.1098951097418,865.1098951097418,85.3,1066.25,865.1098951097418,0,0.2306959720292645
2024-07-03 06:00:00+00:00,400.0,0.25,50.0,865.1822303876306,865.1822303876306,85.3,1066.25,865.1822303876306,0,0.2307152614367015
2024-07-03 06:15:00+00:00,400.0,0.25,50.0,898.9392910129718,898.9392910129718,79.4,992.5000000000001,898.9392910129718,0,0.2397171442701258
2024-07-03 06:30:00+00:00,400.0,0.25,50.0,899.177393525728,899.177393525728,79.4,992.5000000000001,899.177393525728,0,0.23978063827352747
2024-07-03 06:45:00+00:00,400.0,0.25,50.0,899.2365088675872,899.2365088675872,79.4,992.5000000000001,899.2365088675872,0,0.2397964023646899
2024-07-03 07:00:00+00:00,400.0,0.25,50.0,898.9372592544132,898.9372592544132,1000.0,12500.0,898.9372592544132,0,0.23971660246784354
2024-07-03 07:15:00+00:00,400.0,0.25,50.0,935.58629188844,935.58629188844,1000.0,12500.0,935.58629188844,0,0.24948967783691733
2024-07-03 07:30:00+00:00,400.0,0.25,50.0,994.4279132094548,994.4279132094548,129.73,1621.6249999999998,994.4279132094548,0,0.2651807768558546
2024-07-03 07:45:00+00:00,400.0,0.25,50.0,1200.7897829776748,1200.7897829776748,129.73,1621.6249999999998,1200.7897829776748,0,0.3202106087940466
2024-07-03 08:00:00+00:00,400.0,0.25,50.0,1200.8323172811213,1200.8323172811213,129.73,1621.6249999999998,1200.8323172811213,0,0.32022195127496567
2024-07-03 08:15:00+00:00,400.0,0.25,50.0,1292.6472596610674,1292.6472596610674,199.4,2492.5,1292.6472596610674,0,0.34470593590961796
2024-07-03 08:30:00+00:00,400.0,0.25,50.0,1293.3870498723923,1293.3870498723923,199.4,2492.5,1293.3870498723923,0,0.3449032132993046
2024-07-03 08:45:00+00:00,400.0,0.25,50.0,1292.5780629882934,1292.5780629882934,132.58,1657.2500000000002,1292.5780629882934,0,0.34468748346354494
2024-07-03 09:00:00+00:00,400.0,0.25,50.0,1242.6894606248225,1242.6894606248225,199.4,2492.5,1242.6894606248225,0,0.33138385616661936
2024-07-03 09:15:00+00:00,400.0,0.25,50.0,1112.2973268329918,1112.2973268329918,204.4,2555.0,1112.2973268329918,0,0.2966126204887978
2024-07-03 09:30:00+00:00,400.0,0.25,50.0,1110.6031674691924,1110.6031674691924,204.4,2555.0,1110.6031674691924,0,0.29616084465845127
2024-07-03 09:45:00+00:00,400.0,0.25,50.0,982.9739598011545,982.9739598011545,204.4,2555.0,982.9739598011545,0,0.26212638928030785
2024-07-03 10:00:00+00:00,400.0,0.25,50.0,919.3995390335131,919.3995390335131,204.4,2555.0,919.3995390335131,0,0.2451732104089368
2024-07-03 10:15:00+00:00,400.0,0.25,50.0,1046.9215323436524,1046.9215323436524,218.85,2735.625,1046.9215323436524,0,0.27917907529164065
2024-07-03 10:30:00+00:00,400.0,0.25,50.0,1263.9158321942898,1263.9158321942898,218.85,2735.625,1263.9158321942898,0,0.33704422191847727
2024-07-03 10:45:00+00:00,400.0,0.25,50.0,1292.8547246174978,1292.8547246174978,218.85,2735.625,1292.8547246174978,0,0.34476125989799944
2024-07-03 11:00:00+00:00,400.0,0.25,50.0,1293.7754901207352,1293.7754901207352,218.85,2735.625,1293.7754901207352,0,0.3450067973655294
2024-07-03 11:15:00+00:00,400.0,0.25,50.0,1312.0396344467192,1312.0396344467192,211.69,2646.125,1312.0396344467192,0,0.34987723585245845
2024-07-03 11:30:00+00:00,400.0,0.25,50.0,1307.7028253314622,1307.7028253314622,211.69,2646.125,1307.7028253314622,0,0.34872075342172326
2024-07-03 11:45:00+00:00,400.0,0.25,50.0,1307.9106557485436,1307.9106557485436,211.69,2646.125,1307.9106557485436,0,0.3487761748662783
2024-07-03 12:00:00+00:00,400.0,0.25,50.0,1312.5013944980028,1312.5013944980028,211.69,2646.125,1312.5013944980028,0,0.3500003718661341
