dt,price_pln_per_mw_h,mw_procured,CEN,COR,CSDAC,CEB_SR,Hours_in_interval,T_years,budget_pln_interval,exante_option_value_per_mw,exante_p_accept,exante_pln_per_mw_interval,exante_pln_portfolio_baseline,exante_pln_portfolio_capped
2024-07-01 10:45:00+00:00,89.49,400.0,544.14,10.0,505.83,544.14,0.25,2.8519279032626055e-05,8949.0,1.79106822805833e-118,2.938104629718335e-116,4.477670570145825e-119,2.2388352850729126e-116,2.2388352850729126e-116
2024-07-01 11:00:00+00:00,89.49,400.0,544.14,10.0,505.83,544.14,0.25,2.8519279032626055e-05,8949.0,1.79106822805833e-118,2.938104629718335e-116,4.477670570145825e-119,2.2388352850729126e-116,2.2388352850729126e-116
2024-07-01 11:15:00+00:00,88.64,400.0,503.59,10.0,503.59,493.71,0.25,2.8519279032626055e-05,8864.0,4.575138288878223e-139,1.0180908683384657e-136,1.1437845722195557e-139,5.718922861097778e-137,5.718922861097778e-137
2024-07-01 11:30:00+00:00,88.64,400.0,503.59,10.0,503.59,493.71,0.25,2.8519279032626055e-05,8864.0,4.575138288878223e-139,1.0180908683384657e-136,1.1437845722195557e-139,5.718922861097778e-137,5.718922861097778e-137
2024-07-01 11:45:00+00:00,88.64,400.0,503.59,10.0,503.59,402.87,0.25,2.8519279032626055e-05,8864.0,4.16620474517861e-139,1.0495777333789e-136,1.0415511862946524e-139,5.207755931473262e-137,5.207755931473262e-137
2024-07-01 12:00:00+00:00,88.64,400.0,465.97,10.0,503.59,465.97,0.25,2.8519279032626055e-05,8864.0,4.6168651769894426e-139,1.0148041328743735e-136,1.1542162942473606e-139,5.771081471236803e-137,5.771081471236803e-137
2024-07-01 12:15:00+00:00,68.91,400.0,396.98,10.0,588.29,396.98,0.25,2.8519279032626055e-05,6891.0,0.0,0.0,0.0,0.0,0.0
2024-07-01 12:30:00+00:00,68.91,400.0,390.67,10.0,588.29,390.67,0.25,2.8519279032626055e-05,6891.0,0.0,0.0,0.0,0.0,0.0
2024-07-01 12:45:00+00:00,68.91,400.0,450.88,10.0,588.29,450.88,0.25,2.8519279032626055e-05,6891.0,0.0,0.0,0.0,0.0,0.0
2024-07-01 13:00:00+00:00,68.91,400.0,450.88,10.0,588.29,450.88,0.25,2.8519279032626055e-05,6891.0,0.0,0.0,0.0,0.0,0.0
2024-07-01 13:15:00+00:00,68.91,400.0,393.82,10.0,535.29,393.82,0.25,2.8519279032626055e-05,6891.0,0.0,0.0,0.0,0.0,0.0
2024-07-01 13:30:00+00:00,68.91,400.0,393.82,10.0,535.29,393.82,0.25,2.8519279032626055e-05,6891.0,0.0,0.0,0.0,0.0,0.0
2024-07-01 13:45:00+00:00,68.91,400.0,447.86,10.0,535.29,447.86,0.25,2.8519279032626055e-05,6891.0,0.0,0.0,0.0,0.0,0.0
2024-07-01 14:00:00+00:00,68.91,400.0,451.86,10.0,535.29,451.86,0.25,2.8519279032626055e-05,6891.0,0.0,0.0,0.0,0.0,0.0
2024-07-01 14:15:00+00:00,68.91,400.0,390.67,10.0,763.57,390.67,0.25,2.8519279032626055e-05,6891.0,0.0,0.0,0.0,0.0,0.0
2024-07-01 14:30:00+00:00,68.91,400.0,390.67,10.0,763.57,390.67,0.25,2.8519279032626055e-05,6891.0,0.0,0.0,0.0,0.0,0.0
2024-07-01 14:45:00+00:00,68.91,400.0,396.98,10.0,763.57,396.98,0.25,2.8519279032626055e-05,6891.0,0.0,0.0,0.0,0.0,0.0
2024-07-01 15:00:00+00:00,68.91,400.0,464.0,10.0,763.57,464.0,0.25,2.8519279032626055e-05,6891.0,0.0,0.0,0.0,0.0,0.0
2024-07-01 15:15:00+00:00,68.91,400.0,435.47,0.0,866.48,435.47,0.25,2.8519279032626055e-05,6891.0,0.0,0.0,0.0,0.0,0.0
2024-07-01 15:30:00+00:00,68.91,400.0,455.97,0.0,866.48,455.97,0.25,2.8519279032626055e-05,6891.0,0.0,0.0,0.0,0.0,0.0
2024-07-01 15:45:00+00:00,68.91,400.0,497.2,0.0,866.48,497.2,0.25,2.8519279032626055e-05,6891.0,0.0,0.0,0.0,0.0,0.0
2024-07-01 16:00:00+00:00,68.91,400.0,597.0,0.0,866.48,597.0,0.25,2.8519279032626055e-05,6891.0,0.0,0.0,0.0,0.0,0.0
2024-07-01 16:15:00+00:00,68.91,400.0,841.0,0.0,1199.32,841.0,0.25,2.8519279032626055e-05,6891.0,0.0,0.0,0.0,0.0,0.0
2024-07-01 16:30:00+00:00,68.91,400.0,846.0,0.0,1199.32,846.0,0.25,2.8519279032626055e-05,6891.0,0.0,0.0,0.0,0.0,0.0
2024-07-01 16:45:00+00:00,68.91,400.0,1199.32,0.0,1199.32,665.23,0.25,2.8519279032626055e-05,6891.0,0.0,0.0,0.0,0.0,0.0
2024-07-01 17:00:00+00:00,68.91,400.0,1199.32,0.0,1199.32,736.91,0.25,2.8519279032626055e-05,6891.0,0.0,0.0,0.0,0.0,0.0
2024-07-01 17:15:00+00:00,68.91,400.0,1349.62,0.0,1349.62,428.44,0.25,2.8519279032626055e-05,6891.0,0.0,0.0,0.0,0.0,0.0
2024-07-01 17:30:00+00:00,68.91,400.0,1349.62,0.0,1349.62,795.47,0.25,2.8519279032626055e-05,6891.0,0.0,0.0,0.0,0.0,0.0
2024-07-01 17:45:00+00:00,1000.0,400.0,1349.62,0.0,1349.62,934.17,0.25,2.8519279032626055e-05,100000.0,900.0,1.0,225.0,112500.0,100000.0
2024-07-01 18:00:00+00:00,1000.0,400.0,1349.62,0.0,1349.62,1117.83,0.25,2.8519279032626055e-05,100000.0,900.0,1.0,225.0,112500.0,100000.0
2024-07-01 18:15:00+00:00,35.65,400.0,1454.17,0.0,1454.17,1117.83,0.25,2.8519279032626055e-05,3565.0,0.0,0.0,0.0,0.0,0.0
2024-07-01 18:30:00+00:00,1000.0,400.0,1454.17,0.0,1454.17,1117.83,0.25,2.8519279032626055e-05,100000.0,900.0,1.0,225.0,112500.0,100000.0
2024-07-01 18:45:00+00:00,1000.0,400.0,1454.17,0.0,1454.17,1117.91,0.25,2.8519279032626055e-05,100000.0,900.0,1.0,225.0,112500.0,100000.0
2024-07-01 19:00:00+00:00,1000.0,400.0,1454.17,0.0,1454.17,1133.3,0.25,2.8519279032626055e-05,100000.0,900.0,1.0,225.0,112500.0,100000.0
2024-07-01 19:15:00+00:00,1000.0,400.0,1124.36,0.0,1124.36,978.09,0.25,2.8519279032626055e-05,100000.0,900.0,1.0,225.0,112500.0,100000.0
2024-07-01 19:30:00+00:00,1000.0,400.0,1124.36,0.0,1124.36,934.3,0.25,2.8519279032626055e-05,100000.0,900.0,1.0,225.0,112500.0,100000.0
2024-07-01 19:45:00+00:00,1000.0,400.0,1124.36,0.0,1124.36,932.42,0.25,2.8519279032626055e-05,100000.0,900.0,1.0,225.0,112500.0,100000.0
2024-07-01 20:00:00+00:00,1000.0,400.0,1124.36,0.0,1124.36,711.25,0.25,2.8519279032626055e-05,100000.0,900.0,1.0,225.0,112500.0,100000.0
2024-07-01 20:15:00+00:00,1000.0,400.0,824.52,0.0,824.52,700.58,0.25,2.8519279032626055e-05,100000.0,900.0,1.0,225.0,112500.0,100000.0
2024-07-01 20:30:00+00:00,1000.0,400.0,824.52,0.0,824.52,710.88,0.25,2.8519279032626055e-05,100000.0,900.0,1.0,225.0,112500.0,100000.0
2024-07-01 20:45:00+00:00,1000.0,400.0,824.52,0.0,824.52,551.46,0.25,2.8519279032626055e-05,100000.0,900.0,1.0,225.0,112500.0,100000.0
2024-07-01 21:00:00+00:00,1000.0,400.0,824.52,0.0,824.52,452.04,0.25,2.8519279032626055e-05,100000.0,900.0,1.0,225.0,112500.0,100000.0
2024-07-01 21:15:00+00:00,71.89,400.0,604.64,0.0,604.64,586.0,0.25,2.8519279032626055e-05,7189.0,0.0,0.0,0.0,0.0,0.0
2024-07-01 21:30:00+00:00,71.89,400.0,604.64,0.0,604.64,557.79,0.25,2.8519279032626055e-05,7189.0,0.0,0.0,0.0,0.0,0.0
2024-07-01 21:45:00+00:00,71.89,400.0,604.64,0.0,604.64,446.75,0.25,2.8519279032626055e-05,7189.0,0.0,0.0,0.0,0.0,0.0
2024-07-01 22:00:00+00:00,71.89,400.0,481.0,0.0,604.64,481.0,0.25,2.8519279032626055e-05,7189.0,0.0,0.0,0.0,0.0,0.0
2024-07-01 22:15:00+00:00,160.13,400.0,717.4,10.0,717.4,635.49,0.25,2.8519279032626055e-05,16013.0,60.129999999999995,1.0,15.032499999999999,7516.249999999999,7516.249999999999
2024-07-01 22:30:00+00:00,160.13,400.0,717.4,10.0,717.4,636.44,0.25,2.8519279032626055e-05,16013.0,60.129999999999995,1.0,15.032499999999999,7516.249999999999,7516.249999999999
2024-07-01 22:45:00+00:00,160.13,400.0,717.4,0.0,717.4,501.54,0.25,2.8519279032626055e-05,16013.0,60.129999999999995,1.0,15.032499999999999,7516.249999999999,7516.249999999999
2024-07-01 23:00:00+00:00,160.13,400.0,607.0,0.0,717.4,607.0,0.25,2.8519279032626055e-05,16013.0,60.129999999999995,1.0,15.032499999999999,7516.249999999999,7516.249999999999
2024-07-01 23:15:00+00:00,149.51,400.0,629.28,0.0,629.28,537.53,0.25,2.8519279032626055e-05,14951.0,49.50999999999999,1.0,12.377499999999998,6188.749999999999,6188.749999999999
2024-07-01 23:30:00+00:00,149.51,400.0,629.28,0.0,629.28,486.39,0.25,2.8519279032626055e-05,14951.0,49.50999999999999,1.0,12.377499999999998,6188.749999999999,6188.749999999999
