dt,mw_procured,Hours_in_interval,mw_available,cap_revenue_band_1,capacity_revenue_baseline,price_pln_per_mw_h,budget_envelope,capacity_revenue_capped,bound_flag,total_revenue
2024-07-05 07:30:00+00:00,400.0,0.25,50.0,1133.6085891032428,1133.6085891032428,411.15,5139.375,1133.6085891032428,0,1133.6085891032428
2024-07-05 07:45:00+00:00,400.0,0.25,50.0,1133.6085891032428,1133.6085891032428,1000.0,12500.0,1133.6085891032428,0,1133.6085891032428
2024-07-05 08:00:00+00:00,400.0,0.25,50.0,1133.6085891032428,1133.6085891032428,1000.0,12500.0,1133.6085891032428,0,1133.6085891032428
2024-07-05 08:15:00+00:00,400.0,0.25,50.0,1133.6085891032428,1133.6085891032428,1000.0,12500.0,1133.6085891032428,0,1133.6085891032428
2024-07-05 08:30:00+00:00,400.0,0.25,50.0,1133.6085891032428,1133.6085891032428,1000.0,12500.0,1133.6085891032428,0,1133.6085891032428
2024-07-05 08:45:00+00:00,400.0,0.25,50.0,1133.6085891032428,1133.6085891032428,1000.0,12500.0,1133.6085891032428,0,1133.6085891032428
2024-07-05 09:00:00+00:00,400.0,0.25,50.0,1133.6085891032428,1133.6085891032428,1000.0,12500.0,1133.6085891032428,0,1133.6085891032428
2024-07-05 09:15:00+00:00,400.0,0.25,50.0,1133.6085891032428,1133.6085891032428,1000.0,12500.0,1133.6085891032428,0,1133.6085891032428
2024-07-05 09:30:00+00:00,400.0,0.25,50.0,1133.6085891032428,1133.6085891032428,1000.0,12500.0,1133.6085891032428,0,1133.6085891032428
2024-07-05 09:45:00+00:00,400.0,0.25,50.0,1133.6085891032428,1133.6085891032428,1000.0,12500.0,1133.6085891032428,0,1133.6085891032428
2024-07-05 10:00:00+00:00,400.0,0.25,50.0,1133.6085891032428,1133.6085891032428,1000.0,12500.0,1133.6085891032428,0,1133.6085891032428
2024-07-05 10:15:00+00:00,400.0,0.25,50.0,1133.6085891032428,1133.6085891032428,1000.0,12500.0,1133.6085891032428,0,1133.6085891032428
2024-07-05 10:30:00+00:00,400.0,0.25,50.0,1133.6085891032428,1133.6085891032428,1000.0,12500.0,1133.6085891032428,0,1133.6085891032428
2024-07-05 10:45:00+00:00,400.0,0.25,50.0,1133.6085891032428,1133.6085891032428,1000.0,12500.0,1133.6085891032428,0,1133.6085891032428
2024-07-05 11:00:00+00:00,400.0,0.25,50.0,1133.6085891032428,1133.6085891032428,1000.0,12500.0,1133.6085891032428,0,1133.6085891032428
2024-07-05 11:15:00+00:00,400.0,0.25,50.0,1133.6085891032428,1133.6085891032428,1000.0,12500.0,1133.6085891032428,0,1133.6085891032428
