dt,price_pln_per_mw_h
2024-07-01 11:45:00+00:00,88.64
2024-07-01 12:00:00+00:00,88.64
2024-07-01 12:15:00+00:00,68.91
2024-07-01 12:30:00+00:00,68.91
2024-07-01 12:45:00+00:00,68.91
2024-07-01 13:00:00+00:00,68.91
2024-07-01 13:15:00+00:00,68.91
2024-07-01 13:30:00+00:00,68.91
2024-07-01 13:45:00+00:00,68.91
2024-07-01 14:00:00+00:00,68.91
2024-07-01 14:15:00+00:00,68.91
2024-07-01 14:30:00+00:00,68.91
2024-07-01 14:45:00+00:00,68.91
2024-07-01 15:00:00+00:00,68.91
2024-07-01 15:15:00+00:00,68.91
2024-07-01 15:30:00+00:00,68.91
2024-07-01 15:45:00+00:00,68.91
2024-07-01 16:00:00+00:00,68.91
2024-07-01 16:15:00+00:00,68.91
2024-07-01 16:30:00+00:00,68.91
2024-07-01 16:45:00+00:00,68.91
2024-07-01 17:00:00+00:00,68.91
2024-07-01 17:15:00+00:00,68.91
2024-07-01 17:30:00+00:00,68.91
2024-07-01 17:45:00+00:00,1000.0
2024-07-01 18:00:00+00:00,1000.0
2024-07-01 18:15:00+00:00,35.65
2024-07-01 18:30:00+00:00,1000.0
2024-07-01 18:45:00+00:00,1000.0
2024-07-01 19:00:00+00:00,1000.0
2024-07-01 19:15:00+00:00,1000.0
2024-07-01 19:30:00+00:00,1000.0
2024-07-01 19:45:00+00:00,1000.0
2024-07-01 20:00:00+00:00,1000.0
2024-07-01 20:15:00+00:00,1000.0
2024-07-01 20:30:00+00:00,1000.0
2024-07-01 20:45:00+00:00,1000.0
2024-07-01 21:00:00+00:00,1000.0
2024-07-01 21:15:00+00:00,71.89
2024-07-01 21:30:00+00:00,71.89
2024-07-01 21:45:00+00:00,71.89
2024-07-01 22:00:00+00:00,71.89
2024-07-01 22:15:00+00:00,160.13
2024-07-01 22:30:00+00:00,160.13
2024-07-01 22:45:00+00:00,160.13
2024-07-01 23:00:00+00:00,160.13
2024-07-01 23:15:00+00:00,149.51
2024-07-01 23:30:00+00:00,149.51
2024-07-01 23:45:00+00:00,149.51
2024-07-02 00:00:00+00:00,149.51
2024-07-02 00:15:00+00:00,143.84
2024-07-02 00:30:00+00:00,143.84
2024-07-02 00:45:00+00:00,143.84
2024-07-02 01:00:00+00:00,143.84
2024-07-02 01:15:00+00:00,140.99
2024-07-02 01:30:00+00:00,140.99
2024-07-02 01:45:00+00:00,140.99
2024-07-02 02:00:00+00:00,140.99
2024-07-02 02:15:00+00:00,134.33
2024-07-02 02:30:00+00:00,134.33
2024-07-02 02:45:00+00:00,134.33
2024-07-02 03:00:00+00:00,134.33
2024-07-02 03:15:00+00:00,136.33
2024-07-02 03:30:00+00:00,136.33
2024-07-02 03:45:00+00:00,136.33
2024-07-02 04:00:00+00:00,136.33
2024-07-02 04:15:00+00:00,157.84
2024-07-02 04:30:00+00:00,157.84
2024-07-02 04:45:00+00:00,157.84
2024-07-02 05:00:00+00:00,157.84
2024-07-02 05:15:00+00:00,176.05
2024-07-02 05:30:00+00:00,176.05
2024-07-02 05:45:00+00:00,176.05
2024-07-02 06:00:00+00:00,176.05
2024-07-02 06:15:00+00:00,175.05
2024-07-02 06:30:00+00:00,175.05
2024-07-02 06:45:00+00:00,175.05
2024-07-02 07:00:00+00:00,175.05
2024-07-02 07:15:00+00:00,162.67
2024-07-02 07:30:00+00:00,162.67
2024-07-02 07:45:00+00:00,162.67
2024-07-02 08:00:00+00:00,162.67
2024-07-02 08:15:00+00:00,189.77
2024-07-02 08:30:00+00:00,189.77
2024-07-02 08:45:00+00:00,162.59
2024-07-02 09:00:00+00:00,189.77
2024-07-02 09:15:00+00:00,199.77
2024-07-02 09:30:00+00:00,199.77
2024-07-02 09:45:00+00:00,199.77
2024-07-02 10:00:00+00:00,199.77
2024-07-02 10:15:00+00:00,1000.0
2024-07-02 10:30:00+00:00,1000.0
2024-07-02 10:45:00+00:00,1000.0
2024-07-02 11:00:00+00:00,1000.0
2024-07-02 11:15:00+00:00,1000.0
2024-07-02 11:30:00+00:00,1000.0
2024-07-02 11:45:00+00:00,1000.0
2024-07-02 12:00:00+00:00,1000.0
2024-07-02 12:15:00+00:00,1000.0
2024-07-02 12:30:00+00:00,1000.0
2024-07-02 12:45:00+00:00,1000.0
2024-07-02 13:00:00+00:00,1000.0
2024-07-02 13:15:00+00:00,1000.0
2024-07-02 13:30:00+00:00,1000.0
2024-07-02 13:45:00+00:00,1000.0
2024-07-02 14:00:00+00:00,1000.0
2024-07-02 14:15:00+00:00,1000.0
2024-07-02 14:30:00+00:00,1000.0
2024-07-02 14:45:00+00:00,1000.0
2024-07-02 15:00:00+00:00,1000.0
2024-07-02 15:15:00+00:00,1000.0
2024-07-02 15:30:00+00:00,1000.0
2024-07-02 15:45:00+00:00,1000.0
2024-07-02 16:00:00+00:00,1000.0
2024-07-02 16:15:00+00:00,1000.0
2024-07-02 16:30:00+00:00,161.4
2024-07-02 16:45:00+00:00,161.4
2024-07-02 17:00:00+00:00,161.4
2024-07-02 17:15:00+00:00,217.16
2024-07-02 17:30:00+00:00,68.89
2024-07-02 17:45:00+00:00,68.89
2024-07-02 18:00:00+00:00,68.89
2024-07-02 18:15:00+00:00,68.89
2024-07-02 18:30:00+00:00,14.57
2024-07-02 18:45:00+00:00,285.92
2024-07-02 19:00:00+00:00,285.92
2024-07-02 19:15:00+00:00,264.54
2024-07-02 19:30:00+00:00,264.54
2024-07-02 19:45:00+00:00,264.54
2024-07-02 20:00:00+00:00,264.54
2024-07-02 20:15:00+00:00,192.35
2024-07-02 20:30:00+00:00,192.35
2024-07-02 20:45:00+00:00,192.35
2024-07-02 21:00:00+00:00,192.35
2024-07-02 21:15:00+00:00,156.51
2024-07-02 21:30:00+00:00,156.51
2024-07-02 21:45:00+00:00,156.51
2024-07-02 22:00:00+00:00,156.51
2024-07-02 22:15:00+00:00,41.62
2024-07-02 22:30:00+00:00,59.4
2024-07-02 22:45:00+00:00,59.4
2024-07-02 23:00:00+00:00,59.4
2024-07-02 23:15:00+00:00,165.4
2024-07-02 23:30:00+00:00,114.75
2024-07-02 23:45:00+00:00,114.75
2024-07-03 00:00:00+00:00,114.75
2024-07-03 00:15:00+00:00,100.58
2024-07-03 00:30:00+00:00,100.58
2024-07-03 00:45:00+00:00,100.58
2024-07-03 01:00:00+00:00,101.56
2024-07-03 01:15:00+00:00,106.16
2024-07-03 01:30:00+00:00,41.62
2024-07-03 01:45:00+00:00,41.62
2024-07-03 02:00:00+00:00,106.16
2024-07-03 02:15:00+00:00,122.75
2024-07-03 02:30:00+00:00,107.56
2024-07-03 02:45:00+00:00,122.75
2024-07-03 03:00:00+00:00,107.56
2024-07-03 03:15:00+00:00,108.75
2024-07-03 03:30:00+00:00,108.75
2024-07-03 03:45:00+00:00,108.75
2024-07-03 04:00:00+00:00,159.4
2024-07-03 04:15:00+00:00,118.93
2024-07-03 04:30:00+00:00,98.93
